model,dataset,layer_name,layer_idx,method,error,ft_method,cos_sim
ViT-L/14,Cars,model.visual.transformer.resblocks.22.mlp.c_proj.weight,45,EigenCov,0.9387303590774536,standard,0.06126964092254639
ViT-L/14,Cars,model.visual.transformer.resblocks.22.mlp.c_proj.weight,45,Identity,0.9631065726280212,standard,0.03689342737197876
ViT-L/14,Cars,model.visual.transformer.resblocks.23.mlp.c_fc.weight,46,EigenCov,0.94644957780838,standard,0.053550422191619984
ViT-L/14,Cars,model.visual.transformer.resblocks.23.mlp.c_fc.weight,46,Identity,0.9212584495544434,standard,0.07874155044555664
ViT-L/14,Cars,model.visual.transformer.resblocks.23.mlp.c_proj.weight,47,EigenCov,0.503521203994751,standard,0.496478796005249
ViT-L/14,Cars,model.visual.transformer.resblocks.23.mlp.c_proj.weight,47,Identity,0.9487879276275636,standard,0.05121207237243641
ViT-L/14,Cars,model.visual.transformer.resblocks.19.attn.q.weight,48,EigenCov,0.7159017324447632,standard,0.2840982675552368
ViT-L/14,Cars,model.visual.transformer.resblocks.19.attn.q.weight,48,Identity,0.803981363773346,standard,0.19601863622665405
ViT-L/14,Cars,model.visual.transformer.resblocks.19.attn.k.weight,49,EigenCov,0.690586268901825,standard,0.30941373109817505
ViT-L/14,Cars,model.visual.transformer.resblocks.19.attn.k.weight,49,Identity,0.803981363773346,standard,0.19601863622665405
ViT-L/14,Cars,model.visual.transformer.resblocks.19.attn.v.weight,50,EigenCov,0.7009930610656738,standard,0.29900693893432617
ViT-L/14,Cars,model.visual.transformer.resblocks.19.attn.v.weight,50,Identity,0.803981363773346,standard,0.19601863622665405
ViT-L/14,Cars,model.visual.transformer.resblocks.19.attn.o.weight,51,EigenCov,0.6756395101547241,standard,0.3243604898452759
ViT-L/14,Cars,model.visual.transformer.resblocks.19.attn.o.weight,51,Identity,0.8331226706504822,standard,0.16687732934951782
ViT-L/14,Cars,model.visual.transformer.resblocks.15.attn.q.weight,52,EigenCov,0.5418722629547119,standard,0.4581277370452881
ViT-L/14,Cars,model.visual.transformer.resblocks.15.attn.q.weight,52,Identity,0.7583533525466919,standard,0.2416466474533081
ViT-L/14,Cars,model.visual.transformer.resblocks.15.attn.k.weight,53,EigenCov,0.4937225580215454,standard,0.5062774419784546
ViT-L/14,Cars,model.visual.transformer.resblocks.15.attn.k.weight,53,Identity,0.7583533525466919,standard,0.2416466474533081
ViT-L/14,Cars,model.visual.transformer.resblocks.15.attn.v.weight,54,EigenCov,0.5305677652359009,standard,0.4694322347640991
ViT-L/14,Cars,model.visual.transformer.resblocks.15.attn.v.weight,54,Identity,0.7583533525466919,standard,0.2416466474533081
ViT-L/14,Cars,model.visual.transformer.resblocks.15.attn.o.weight,55,EigenCov,0.6309198141098022,standard,0.36908018589019775
ViT-L/14,Cars,model.visual.transformer.resblocks.15.attn.o.weight,55,Identity,0.815873920917511,standard,0.184126079082489
ViT-L/14,Cars,model.visual.transformer.resblocks.12.attn.q.weight,56,EigenCov,0.6397334337234497,standard,0.3602665662765503
ViT-L/14,Cars,model.visual.transformer.resblocks.12.attn.q.weight,56,Identity,0.7610428333282471,standard,0.23895716667175293
ViT-L/14,Cars,model.visual.transformer.resblocks.12.attn.k.weight,57,EigenCov,0.6090269088745117,standard,0.3909730911254883
ViT-L/14,Cars,model.visual.transformer.resblocks.12.attn.k.weight,57,Identity,0.7610428333282471,standard,0.23895716667175293
ViT-L/14,Cars,model.visual.transformer.resblocks.12.attn.v.weight,58,EigenCov,0.6326272487640381,standard,0.3673727512359619
ViT-L/14,Cars,model.visual.transformer.resblocks.12.attn.v.weight,58,Identity,0.7610428333282471,standard,0.23895716667175293
ViT-L/14,Cars,model.visual.transformer.resblocks.12.attn.o.weight,59,EigenCov,0.6251641511917114,standard,0.3748358488082886
ViT-L/14,Cars,model.visual.transformer.resblocks.12.attn.o.weight,59,Identity,0.8312698006629944,standard,0.16873019933700562
ViT-L/14,Cars,model.visual.transformer.resblocks.5.attn.q.weight,60,EigenCov,0.7936863899230957,standard,0.2063136100769043
ViT-L/14,Cars,model.visual.transformer.resblocks.5.attn.q.weight,60,Identity,0.7913489937782288,standard,0.20865100622177124
ViT-L/14,Cars,model.visual.transformer.resblocks.5.attn.k.weight,61,EigenCov,0.7808390259742737,standard,0.21916097402572632
ViT-L/14,Cars,model.visual.transformer.resblocks.5.attn.k.weight,61,Identity,0.7913489937782288,standard,0.20865100622177124
ViT-L/14,Cars,model.visual.transformer.resblocks.5.attn.v.weight,62,EigenCov,0.7690114378929138,standard,0.23098856210708618
ViT-L/14,Cars,model.visual.transformer.resblocks.5.attn.v.weight,62,Identity,0.7913489937782288,standard,0.20865100622177124
ViT-L/14,Cars,model.visual.transformer.resblocks.5.attn.o.weight,63,EigenCov,0.6830273866653442,standard,0.31697261333465576
