dataset,layer_name,layer_idx,method,error,k,ft_method
GTSRB,model.visual.transformer.resblocks.3.mlp.c_fc.weight,37,EigenCov,0.7325240522145368,64,linear
GTSRB,model.visual.transformer.resblocks.3.mlp.c_proj.weight,39,EigenCov,0.9818484959016401,8,linear
GTSRB,model.visual.transformer.resblocks.3.mlp.c_proj.weight,39,EigenCov,0.9571355953872359,32,linear
GTSRB,model.visual.transformer.resblocks.3.mlp.c_proj.weight,39,EigenCov,0.9381130497958836,64,linear
GTSRB,model.visual.transformer.resblocks.4.mlp.c_fc.weight,45,EigenCov,0.8361213748530125,8,linear
GTSRB,model.visual.transformer.resblocks.4.mlp.c_fc.weight,45,EigenCov,0.8037091168422896,32,linear
GTSRB,model.visual.transformer.resblocks.4.mlp.c_fc.weight,45,EigenCov,0.7682875298366497,64,linear
GTSRB,model.visual.transformer.resblocks.4.mlp.c_proj.weight,47,EigenCov,0.9733773566473128,8,linear
GTSRB,model.visual.transformer.resblocks.4.mlp.c_proj.weight,47,EigenCov,0.9507366005358948,32,linear
GTSRB,model.visual.transformer.resblocks.4.mlp.c_proj.weight,47,EigenCov,0.930731284904897,64,linear
GTSRB,model.visual.transformer.resblocks.5.mlp.c_fc.weight,53,EigenCov,0.8128014593806323,8,linear
GTSRB,model.visual.transformer.resblocks.5.mlp.c_fc.weight,53,EigenCov,0.7848133965623214,32,linear
GTSRB,model.visual.transformer.resblocks.5.mlp.c_fc.weight,53,EigenCov,0.7504247637732877,64,linear
GTSRB,model.visual.transformer.resblocks.5.mlp.c_proj.weight,55,EigenCov,0.9530267241838422,8,linear
GTSRB,model.visual.transformer.resblocks.5.mlp.c_proj.weight,55,EigenCov,0.9509549017590613,32,linear
GTSRB,model.visual.transformer.resblocks.5.mlp.c_proj.weight,55,EigenCov,0.933708412582124,64,linear
MNIST,model.visual.transformer.resblocks.0.mlp.c_fc.weight,13,EigenCov,0.9010022370603787,8,linear
MNIST,model.visual.transformer.resblocks.0.mlp.c_fc.weight,13,EigenCov,0.7734141338463236,32,linear
MNIST,model.visual.transformer.resblocks.0.mlp.c_fc.weight,13,EigenCov,0.6954897040608568,64,linear
MNIST,model.visual.transformer.resblocks.0.mlp.c_proj.weight,15,EigenCov,0.9748005003145629,8,linear
MNIST,model.visual.transformer.resblocks.0.mlp.c_proj.weight,15,EigenCov,0.9086347304160717,32,linear
MNIST,model.visual.transformer.resblocks.0.mlp.c_proj.weight,15,EigenCov,0.8811976905700937,64,linear
MNIST,model.visual.transformer.resblocks.1.mlp.c_fc.weight,21,EigenCov,0.8779922792735957,8,linear
MNIST,model.visual.transformer.resblocks.1.mlp.c_fc.weight,21,EigenCov,0.8315406982528442,32,linear
MNIST,model.visual.transformer.resblocks.1.mlp.c_fc.weight,21,EigenCov,0.7709933472218456,64,linear
MNIST,model.visual.transformer.resblocks.1.mlp.c_proj.weight,23,EigenCov,0.9692443370785245,8,linear
MNIST,model.visual.transformer.resblocks.1.mlp.c_proj.weight,23,EigenCov,0.9288600060316277,32,linear
MNIST,model.visual.transformer.resblocks.1.mlp.c_proj.weight,23,EigenCov,0.9070561796398356,64,linear
MNIST,model.visual.transformer.resblocks.2.mlp.c_fc.weight,29,EigenCov,0.8919532542536778,8,linear
MNIST,model.visual.transformer.resblocks.2.mlp.c_fc.weight,29,EigenCov,0.8499135259274698,32,linear
MNIST,model.visual.transformer.resblocks.2.mlp.c_fc.weight,29,EigenCov,0.7975441898004547,64,linear
MNIST,model.visual.transformer.resblocks.2.mlp.c_proj.weight,31,EigenCov,0.9672061077131591,8,linear
MNIST,model.visual.transformer.resblocks.2.mlp.c_proj.weight,31,EigenCov,0.9423148312730407,32,linear
MNIST,model.visual.transformer.resblocks.2.mlp.c_proj.weight,31,EigenCov,0.9221649375388578,64,linear
MNIST,model.visual.transformer.resblocks.3.mlp.c_fc.weight,37,EigenCov,0.8880937015072238,8,linear
MNIST,model.visual.transformer.resblocks.3.mlp.c_fc.weight,37,EigenCov,0.8382775555675717,32,linear
MNIST,model.visual.transformer.resblocks.3.mlp.c_fc.weight,37,EigenCov,0.7880106117569509,64,linear
MNIST,model.visual.transformer.resblocks.3.mlp.c_proj.weight,39,EigenCov,0.9774731340703594,8,linear
MNIST,model.visual.transformer.resblocks.3.mlp.c_proj.weight,39,EigenCov,0.9505213044426442,32,linear
MNIST,model.visual.transformer.resblocks.3.mlp.c_proj.weight,39,EigenCov,0.9317026895868543,64,linear
