model,dataset_i,layer_name,layer_idx,kappa_i,dataset_j,kappa_j,rho
ViT-B-16,Cars,model.visual.transformer.resblocks.7.attn.v.weight,34,5756871.5,DTD,3823660.0,1.5055918936307098
ViT-B-16,Cars,model.visual.transformer.resblocks.7.attn.v.weight,34,5756871.5,EuroSAT,5173953.5,1.1126639425731213
ViT-B-16,Cars,model.visual.transformer.resblocks.7.attn.v.weight,34,5756871.5,GTSRB,6508333.0,0.8845385600275831
ViT-B-16,Cars,model.visual.transformer.resblocks.7.attn.v.weight,34,5756871.5,MNIST,2550273.25,2.2573547756108097
ViT-B-16,Cars,model.visual.transformer.resblocks.7.attn.v.weight,34,5756871.5,SVHN,3376053.5,1.705207426363356
ViT-B-16,Cars,model.visual.transformer.resblocks.7.attn.o.weight,35,172343.4375,Cars,172343.4375,1.0
ViT-B-16,Cars,model.visual.transformer.resblocks.7.attn.o.weight,35,172343.4375,DTD,154195.71875,1.1176927537101284
ViT-B-16,Cars,model.visual.transformer.resblocks.7.attn.o.weight,35,172343.4375,EuroSAT,178582.328125,0.9650643448850492
ViT-B-16,Cars,model.visual.transformer.resblocks.7.attn.o.weight,35,172343.4375,GTSRB,284463.0,0.6058553748642178
ViT-B-16,Cars,model.visual.transformer.resblocks.7.attn.o.weight,35,172343.4375,MNIST,125864.03125,1.3692826758240353
ViT-B-16,Cars,model.visual.transformer.resblocks.7.attn.o.weight,35,172343.4375,SVHN,116512.09375,1.4791892579820711
ViT-B-16,Cars,model.visual.transformer.resblocks.0.attn.q.weight,36,298677.875,Cars,298677.875,1.0
ViT-B-16,Cars,model.visual.transformer.resblocks.0.attn.q.weight,36,298677.875,DTD,288357.3125,1.0357908818421242
ViT-B-16,Cars,model.visual.transformer.resblocks.0.attn.q.weight,36,298677.875,EuroSAT,364150.46875,0.8202045600140395
ViT-B-16,Cars,model.visual.transformer.resblocks.0.attn.q.weight,36,298677.875,GTSRB,492704.6875,0.6062005955646607
ViT-B-16,Cars,model.visual.transformer.resblocks.0.attn.q.weight,36,298677.875,MNIST,442113.8125,0.675567843743855
ViT-B-16,Cars,model.visual.transformer.resblocks.0.attn.q.weight,36,298677.875,SVHN,310916.78125,0.9606360705240964
ViT-B-16,Cars,model.visual.transformer.resblocks.0.attn.k.weight,37,204201.890625,Cars,204201.890625,1.0
ViT-B-16,Cars,model.visual.transformer.resblocks.0.attn.k.weight,37,204201.890625,DTD,194381.671875,1.0505202916266458
ViT-B-16,Cars,model.visual.transformer.resblocks.0.attn.k.weight,37,204201.890625,EuroSAT,257457.109375,0.793149162284616
ViT-B-16,Cars,model.visual.transformer.resblocks.0.attn.k.weight,37,204201.890625,GTSRB,442082.71875,0.4619087830494392
ViT-B-16,Cars,model.visual.transformer.resblocks.0.attn.k.weight,37,204201.890625,MNIST,375130.03125,0.5443496217686518
ViT-B-16,Cars,model.visual.transformer.resblocks.0.attn.k.weight,37,204201.890625,SVHN,216727.78125,0.9422044993366534
ViT-B-16,Cars,model.visual.transformer.resblocks.0.attn.v.weight,38,365668.21875,Cars,365668.21875,1.0
ViT-B-16,Cars,model.visual.transformer.resblocks.0.attn.v.weight,38,365668.21875,DTD,317918.125,1.1501961983136382
ViT-B-16,Cars,model.visual.transformer.resblocks.0.attn.v.weight,38,365668.21875,EuroSAT,425399.40625,0.8595879857319383
ViT-B-16,Cars,model.visual.transformer.resblocks.0.attn.v.weight,38,365668.21875,GTSRB,437462.40625,0.8358848978237201
ViT-B-16,Cars,model.visual.transformer.resblocks.0.attn.v.weight,38,365668.21875,MNIST,849372.8125,0.4305155679208887
ViT-B-16,Cars,model.visual.transformer.resblocks.0.attn.v.weight,38,365668.21875,SVHN,528278.125,0.6921888328236192
ViT-B-16,Cars,model.visual.transformer.resblocks.0.attn.o.weight,39,29393.80078125,Cars,29393.80078125,1.0
ViT-B-16,Cars,model.visual.transformer.resblocks.0.attn.o.weight,39,29393.80078125,DTD,31499.41796875,0.9331537747907296
ViT-B-16,Cars,model.visual.transformer.resblocks.0.attn.o.weight,39,29393.80078125,EuroSAT,68942.984375,0.4263494110056067
ViT-B-16,Cars,model.visual.transformer.resblocks.0.attn.o.weight,39,29393.80078125,GTSRB,109550.921875,0.2683117611259262
ViT-B-16,Cars,model.visual.transformer.resblocks.0.attn.o.weight,39,29393.80078125,MNIST,126804.5625,0.231803968262183
ViT-B-16,Cars,model.visual.transformer.resblocks.0.attn.o.weight,39,29393.80078125,SVHN,102632.6875,0.2863980423512733
ViT-B-16,Cars,model.visual.transformer.resblocks.11.attn.q.weight,40,148530.28125,Cars,148530.28125,1.0
ViT-B-16,Cars,model.visual.transformer.resblocks.11.attn.q.weight,40,148530.28125,DTD,284428.96875,0.5222051815001703
ViT-B-16,Cars,model.visual.transformer.resblocks.11.attn.q.weight,40,148530.28125,EuroSAT,244779.375,0.606792468728217
ViT-B-16,Cars,model.visual.transformer.resblocks.11.attn.q.weight,40,148530.28125,GTSRB,262836.28125,0.565105702088075
ViT-B-16,Cars,model.visual.transformer.resblocks.11.attn.q.weight,40,148530.28125,MNIST,277494.65625,0.5352545640236991
ViT-B-16,Cars,model.visual.transformer.resblocks.11.attn.q.weight,40,148530.28125,SVHN,212664.0625,0.6984268028360457
ViT-B-16,Cars,model.visual.transformer.resblocks.11.attn.k.weight,41,1036398.6875,Cars,1036398.6875,1.0
ViT-B-16,Cars,model.visual.transformer.resblocks.11.attn.k.weight,41,1036398.6875,DTD,1991568.25,0.5203932566709677
ViT-B-16,Cars,model.visual.transformer.resblocks.11.attn.k.weight,41,1036398.6875,EuroSAT,4202955.5,0.2465880705850918
ViT-B-16,Cars,model.visual.transformer.resblocks.11.attn.k.weight,41,1036398.6875,GTSRB,2384207.25,0.4346932035795126
ViT-B-16,Cars,model.visual.transformer.resblocks.11.attn.k.weight,41,1036398.6875,MNIST,2202898.75,0.4704704142666566
ViT-B-16,Cars,model.visual.transformer.resblocks.11.attn.k.weight,41,1036398.6875,SVHN,883984.8125,1.1724168479421695
ViT-B-16,Cars,model.visual.transformer.resblocks.11.attn.v.weight,42,1143059.625,Cars,1143059.625,1.0
ViT-B-16,Cars,model.visual.transformer.resblocks.11.attn.v.weight,42,1143059.625,DTD,2417394.25,0.4728478298481929
ViT-B-16,Cars,model.visual.transformer.resblocks.11.attn.v.weight,42,1143059.625,EuroSAT,3781029.5,0.302314389506879
ViT-B-16,Cars,model.visual.transformer.resblocks.11.attn.v.weight,42,1143059.625,GTSRB,1128712.0,1.012711502136949
ViT-B-16,Cars,model.visual.transformer.resblocks.11.attn.v.weight,42,1143059.625,MNIST,976655.0,1.1703821973982624
ViT-B-16,Cars,model.visual.transformer.resblocks.11.attn.v.weight,42,1143059.625,SVHN,677385.5,1.6874580648685276
ViT-B-16,Cars,model.visual.transformer.resblocks.11.attn.o.weight,43,81353.328125,Cars,81353.328125,1.0
ViT-B-16,Cars,model.visual.transformer.resblocks.11.attn.o.weight,43,81353.328125,DTD,324774.65625,0.2504916149072207
ViT-B-16,Cars,model.visual.transformer.resblocks.11.attn.o.weight,43,81353.328125,EuroSAT,763988.75,0.1064849817814725
ViT-B-16,Cars,model.visual.transformer.resblocks.11.attn.o.weight,43,81353.328125,GTSRB,103130.1875,0.7888410764791832
ViT-B-16,Cars,model.visual.transformer.resblocks.11.attn.o.weight,43,81353.328125,MNIST,233016.265625,0.3491315419839588
ViT-B-16,Cars,model.visual.transformer.resblocks.11.attn.o.weight,43,81353.328125,SVHN,158419.078125,0.5135323919812768
ViT-B-16,Cars,model.visual.transformer.resblocks.2.attn.q.weight,44,763313.3125,Cars,763313.3125,1.0
ViT-B-16,Cars,model.visual.transformer.resblocks.2.attn.q.weight,44,763313.3125,DTD,921235.4375,0.8285757162918518
ViT-B-16,Cars,model.visual.transformer.resblocks.2.attn.q.weight,44,763313.3125,EuroSAT,868960.8125,0.8784208695256899
ViT-B-16,Cars,model.visual.transformer.resblocks.2.attn.q.weight,44,763313.3125,GTSRB,1015885.4375,0.7513773544962348
ViT-B-16,Cars,model.visual.transformer.resblocks.2.attn.q.weight,44,763313.3125,MNIST,668723.3125,1.141448635380122
ViT-B-16,Cars,model.visual.transformer.resblocks.2.attn.q.weight,44,763313.3125,SVHN,589386.3125,1.2950984715987954
ViT-B-16,Cars,model.visual.transformer.resblocks.2.attn.k.weight,45,761649.625,Cars,761649.625,1.0
ViT-B-16,Cars,model.visual.transformer.resblocks.2.attn.k.weight,45,761649.625,DTD,948150.0625,0.8033007169685231
ViT-B-16,Cars,model.visual.transformer.resblocks.2.attn.k.weight,45,761649.625,EuroSAT,546365.9375,1.3940283841358614
ViT-B-16,Cars,model.visual.transformer.resblocks.2.attn.k.weight,45,761649.625,GTSRB,1002088.625,0.7600621402123989
