task,layer,layer_idx,entry_idx,rho,ft_method
Cars,image_encoder.model.visual.transformer.resblocks.1.mlp.c_fc,2,13,0.0673569053275994,standard
Cars,image_encoder.model.visual.transformer.resblocks.1.mlp.c_fc,2,14,0.0067933744626895,standard
Cars,image_encoder.model.visual.transformer.resblocks.1.mlp.c_fc,2,15,0.0350247221054595,standard
Cars,image_encoder.model.visual.transformer.resblocks.1.mlp.c_fc,2,16,0.0195010448316084,standard
Cars,image_encoder.model.visual.transformer.resblocks.1.mlp.c_fc,2,17,0.1679549248285435,standard
Cars,image_encoder.model.visual.transformer.resblocks.1.mlp.c_fc,2,18,0.044022310490424,standard
Cars,image_encoder.model.visual.transformer.resblocks.1.mlp.c_fc,2,19,0.0978848465499908,standard
Cars,image_encoder.model.visual.transformer.resblocks.1.mlp.c_fc,2,20,0.0350353776225344,standard
Cars,image_encoder.model.visual.transformer.resblocks.1.mlp.c_fc,2,21,0.0491129013175414,standard
Cars,image_encoder.model.visual.transformer.resblocks.1.mlp.c_fc,2,22,0.0098828410350624,standard
Cars,image_encoder.model.visual.transformer.resblocks.1.mlp.c_fc,2,23,0.1883779769942302,standard
Cars,image_encoder.model.visual.transformer.resblocks.1.mlp.c_fc,2,24,0.0063696329700062,standard
Cars,image_encoder.model.visual.transformer.resblocks.1.mlp.c_fc,2,25,0.018007152473788,standard
Cars,image_encoder.model.visual.transformer.resblocks.1.mlp.c_fc,2,26,0.1439578274321399,standard
Cars,image_encoder.model.visual.transformer.resblocks.1.mlp.c_fc,2,27,0.0089690896976475,standard
Cars,image_encoder.model.visual.transformer.resblocks.1.mlp.c_fc,2,28,0.0746822614750773,standard
Cars,image_encoder.model.visual.transformer.resblocks.1.mlp.c_fc,2,29,0.0771889617979074,standard
Cars,image_encoder.model.visual.transformer.resblocks.1.mlp.c_fc,2,30,0.142434887555105,standard
Cars,image_encoder.model.visual.transformer.resblocks.1.mlp.c_fc,2,31,0.0565684333231925,standard
Cars,image_encoder.model.visual.transformer.resblocks.1.mlp.c_proj,3,0,0.0260414460032821,standard
Cars,image_encoder.model.visual.transformer.resblocks.1.mlp.c_proj,3,1,0.0621472975047799,standard
Cars,image_encoder.model.visual.transformer.resblocks.1.mlp.c_proj,3,2,0.0207869943106025,standard
Cars,image_encoder.model.visual.transformer.resblocks.1.mlp.c_proj,3,3,0.0611633445943542,standard
Cars,image_encoder.model.visual.transformer.resblocks.1.mlp.c_proj,3,4,0.0543877013130135,standard
Cars,image_encoder.model.visual.transformer.resblocks.1.mlp.c_proj,3,5,0.0228985818084373,standard
Cars,image_encoder.model.visual.transformer.resblocks.1.mlp.c_proj,3,6,0.0225921073433556,standard
Cars,image_encoder.model.visual.transformer.resblocks.1.mlp.c_proj,3,7,0.0535302619498602,standard
Cars,image_encoder.model.visual.transformer.resblocks.1.mlp.c_proj,3,8,0.0201182633878897,standard
Cars,image_encoder.model.visual.transformer.resblocks.1.mlp.c_proj,3,9,0.0922464079010965,standard
Cars,image_encoder.model.visual.transformer.resblocks.1.mlp.c_proj,3,10,0.0326986726714217,standard
Cars,image_encoder.model.visual.transformer.resblocks.1.mlp.c_proj,3,11,0.0177233547004942,standard
Cars,image_encoder.model.visual.transformer.resblocks.1.mlp.c_proj,3,12,0.0092922035375036,standard
Cars,image_encoder.model.visual.transformer.resblocks.1.mlp.c_proj,3,13,0.020899972416267,standard
Cars,image_encoder.model.visual.transformer.resblocks.1.mlp.c_proj,3,14,0.0397920370972948,standard
Cars,image_encoder.model.visual.transformer.resblocks.1.mlp.c_proj,3,15,0.0451878165176348,standard
Cars,image_encoder.model.visual.transformer.resblocks.1.mlp.c_proj,3,16,0.0156157524571958,standard
Cars,image_encoder.model.visual.transformer.resblocks.1.mlp.c_proj,3,17,0.1329342712710199,standard
Cars,image_encoder.model.visual.transformer.resblocks.1.mlp.c_proj,3,18,0.3188219677689595,standard
Cars,image_encoder.model.visual.transformer.resblocks.1.mlp.c_proj,3,19,0.0943119724507039,standard
Cars,image_encoder.model.visual.transformer.resblocks.1.mlp.c_proj,3,20,0.0504223119594384,standard
Cars,image_encoder.model.visual.transformer.resblocks.1.mlp.c_proj,3,21,0.098988644961595,standard
Cars,image_encoder.model.visual.transformer.resblocks.1.mlp.c_proj,3,22,0.0405663150383677,standard
Cars,image_encoder.model.visual.transformer.resblocks.1.mlp.c_proj,3,23,0.00503015357845,standard
Cars,image_encoder.model.visual.transformer.resblocks.1.mlp.c_proj,3,24,0.0190768216851123,standard
Cars,image_encoder.model.visual.transformer.resblocks.1.mlp.c_proj,3,25,0.0993534457528675,standard
Cars,image_encoder.model.visual.transformer.resblocks.1.mlp.c_proj,3,26,0.0156106629925725,standard
Cars,image_encoder.model.visual.transformer.resblocks.1.mlp.c_proj,3,27,0.0439076294233925,standard
Cars,image_encoder.model.visual.transformer.resblocks.1.mlp.c_proj,3,28,0.0871577666034827,standard
Cars,image_encoder.model.visual.transformer.resblocks.1.mlp.c_proj,3,29,0.0819371604848787,standard
Cars,image_encoder.model.visual.transformer.resblocks.1.mlp.c_proj,3,30,0.0777309317400769,standard
Cars,image_encoder.model.visual.transformer.resblocks.1.mlp.c_proj,3,31,0.0530082662350505,standard
Cars,image_encoder.model.visual.transformer.resblocks.2.mlp.c_fc,4,0,0.0016665033167507,standard
Cars,image_encoder.model.visual.transformer.resblocks.2.mlp.c_fc,4,1,0.0047150035801057,standard
Cars,image_encoder.model.visual.transformer.resblocks.2.mlp.c_fc,4,2,0.0282271787690648,standard
Cars,image_encoder.model.visual.transformer.resblocks.2.mlp.c_fc,4,3,0.0155736336361473,standard
Cars,image_encoder.model.visual.transformer.resblocks.2.mlp.c_fc,4,4,0.1148049918280139,standard
Cars,image_encoder.model.visual.transformer.resblocks.2.mlp.c_fc,4,5,0.0043728704344148,standard
Cars,image_encoder.model.visual.transformer.resblocks.2.mlp.c_fc,4,6,0.0417907198637697,standard
Cars,image_encoder.model.visual.transformer.resblocks.2.mlp.c_fc,4,7,0.0516733255157369,standard
Cars,image_encoder.model.visual.transformer.resblocks.2.mlp.c_fc,4,8,0.0447472958200678,standard
Cars,image_encoder.model.visual.transformer.resblocks.2.mlp.c_fc,4,9,0.0290057000190513,standard
Cars,image_encoder.model.visual.transformer.resblocks.2.mlp.c_fc,4,10,0.2636824445286861,standard
Cars,image_encoder.model.visual.transformer.resblocks.2.mlp.c_fc,4,11,0.0214442379738363,standard
Cars,image_encoder.model.visual.transformer.resblocks.2.mlp.c_fc,4,12,0.0038726836473821,standard
Cars,image_encoder.model.visual.transformer.resblocks.2.mlp.c_fc,4,13,0.1276036346178318,standard
Cars,image_encoder.model.visual.transformer.resblocks.2.mlp.c_fc,4,14,0.0440946187537451,standard
Cars,image_encoder.model.visual.transformer.resblocks.2.mlp.c_fc,4,15,0.0104560863359902,standard
Cars,image_encoder.model.visual.transformer.resblocks.2.mlp.c_fc,4,16,0.0121847649164624,standard
Cars,image_encoder.model.visual.transformer.resblocks.2.mlp.c_fc,4,17,0.0895958351365875,standard
Cars,image_encoder.model.visual.transformer.resblocks.2.mlp.c_fc,4,18,0.1040662497837906,standard
Cars,image_encoder.model.visual.transformer.resblocks.2.mlp.c_fc,4,19,0.0251553268885343,standard
Cars,image_encoder.model.visual.transformer.resblocks.2.mlp.c_fc,4,20,0.0377314952016547,standard
Cars,image_encoder.model.visual.transformer.resblocks.2.mlp.c_fc,4,21,0.0065238872710242,standard
Cars,image_encoder.model.visual.transformer.resblocks.2.mlp.c_fc,4,22,0.0662652490780992,standard
Cars,image_encoder.model.visual.transformer.resblocks.2.mlp.c_fc,4,23,0.0383174525968705,standard
Cars,image_encoder.model.visual.transformer.resblocks.2.mlp.c_fc,4,24,0.0523207011921563,standard
Cars,image_encoder.model.visual.transformer.resblocks.2.mlp.c_fc,4,25,0.0239100196761721,standard
Cars,image_encoder.model.visual.transformer.resblocks.2.mlp.c_fc,4,26,0.0650880812418976,standard
Cars,image_encoder.model.visual.transformer.resblocks.2.mlp.c_fc,4,27,0.1222996890208359,standard
Cars,image_encoder.model.visual.transformer.resblocks.2.mlp.c_fc,4,28,0.032373277187391,standard
Cars,image_encoder.model.visual.transformer.resblocks.2.mlp.c_fc,4,29,0.002401081945301,standard
Cars,image_encoder.model.visual.transformer.resblocks.2.mlp.c_fc,4,30,0.0299706824393131,standard
Cars,image_encoder.model.visual.transformer.resblocks.2.mlp.c_fc,4,31,0.4369660369499822,standard
Cars,image_encoder.model.visual.transformer.resblocks.2.mlp.c_proj,5,0,0.0687949391749505,standard
Cars,image_encoder.model.visual.transformer.resblocks.2.mlp.c_proj,5,1,0.0350364126185682,standard
Cars,image_encoder.model.visual.transformer.resblocks.2.mlp.c_proj,5,2,0.0399826828660475,standard
