checkpoint,dataset,layer,cosine_similarity,cosine_similarity_accum
0,Cars,image_encoder.model.visual.transformer.resblocks.11.attn.q,0.9423009157180786,0.9423009157180786
0,Cars,image_encoder.model.visual.transformer.resblocks.11.attn.k,0.9423009157180786,0.9423009157180786
0,Cars,image_encoder.model.visual.transformer.resblocks.11.attn.v,0.9423009157180786,0.9423009157180786
0,Cars,image_encoder.model.visual.transformer.resblocks.11.attn.o,0.6734840869903564,0.6734840869903564
0,Cars,image_encoder.model.visual.transformer.resblocks.11.attn,0.9423009157180786,0.9423009157180786
0,Cars,image_encoder.model.visual.transformer.resblocks.11.mlp.c_fc,0.9433786273002625,0.9433786273002625
0,Cars,image_encoder.model.visual.transformer.resblocks.11.mlp.c_proj,0.9211529493331908,0.9211529493331908
200,Cars,image_encoder.model.visual.transformer.resblocks.0.attn.q,0.7289669513702393,0.7696486115455627
200,Cars,image_encoder.model.visual.transformer.resblocks.0.attn.k,0.7289669513702393,0.7696486115455627
200,Cars,image_encoder.model.visual.transformer.resblocks.0.attn.v,0.7289669513702393,0.7696486115455627
200,Cars,image_encoder.model.visual.transformer.resblocks.0.attn.o,0.5971647500991821,0.6500060558319092
200,Cars,image_encoder.model.visual.transformer.resblocks.0.attn,0.7289669513702393,0.7696486115455627
200,Cars,image_encoder.model.visual.transformer.resblocks.0.mlp.c_fc,0.9777408838272096,0.9802928566932678
200,Cars,image_encoder.model.visual.transformer.resblocks.0.mlp.c_proj,0.9934083223342896,0.993861973285675
200,Cars,image_encoder.model.visual.transformer.resblocks.1.attn.q,0.7970533967018127,0.8229048848152161
200,Cars,image_encoder.model.visual.transformer.resblocks.1.attn.k,0.7970533967018127,0.8229048848152161
200,Cars,image_encoder.model.visual.transformer.resblocks.1.attn.v,0.7970533967018127,0.8229048848152161
200,Cars,image_encoder.model.visual.transformer.resblocks.1.attn.o,0.5047918558120728,0.5431519746780396
200,Cars,image_encoder.model.visual.transformer.resblocks.1.attn,0.7970533967018127,0.8229048848152161
200,Cars,image_encoder.model.visual.transformer.resblocks.1.mlp.c_fc,0.918951690196991,0.924014449119568
200,Cars,image_encoder.model.visual.transformer.resblocks.1.mlp.c_proj,0.9812084436416626,0.9814169406890868
200,Cars,image_encoder.model.visual.transformer.resblocks.2.attn.q,0.9528491497039796,0.957055687904358
200,Cars,image_encoder.model.visual.transformer.resblocks.2.attn.k,0.9528491497039796,0.957055687904358
200,Cars,image_encoder.model.visual.transformer.resblocks.2.attn.v,0.9528491497039796,0.957055687904358
200,Cars,image_encoder.model.visual.transformer.resblocks.2.attn.o,0.884914755821228,0.9001558423042297
200,Cars,image_encoder.model.visual.transformer.resblocks.2.attn,0.9528491497039796,0.957055687904358
200,Cars,image_encoder.model.visual.transformer.resblocks.2.mlp.c_fc,0.9407982230186462,0.941628873348236
200,Cars,image_encoder.model.visual.transformer.resblocks.2.mlp.c_proj,0.9586614966392516,0.9585577845573424
200,Cars,image_encoder.model.visual.transformer.resblocks.3.attn.q,0.9065192937850952,0.9175783395767212
200,Cars,image_encoder.model.visual.transformer.resblocks.3.attn.k,0.9065192937850952,0.9175783395767212
200,Cars,image_encoder.model.visual.transformer.resblocks.3.attn.v,0.9065192937850952,0.9175783395767212
200,Cars,image_encoder.model.visual.transformer.resblocks.3.attn.o,0.7739208936691284,0.8143965005874634
200,Cars,image_encoder.model.visual.transformer.resblocks.3.attn,0.9065192937850952,0.9175783395767212
200,Cars,image_encoder.model.visual.transformer.resblocks.3.mlp.c_fc,0.9066362380981444,0.9160673022270204
200,Cars,image_encoder.model.visual.transformer.resblocks.3.mlp.c_proj,0.9259238243103028,0.9298141002655028
200,Cars,image_encoder.model.visual.transformer.resblocks.4.attn.q,0.9171342849731444,0.9267680048942566
200,Cars,image_encoder.model.visual.transformer.resblocks.4.attn.k,0.9171342849731444,0.9267680048942566
200,Cars,image_encoder.model.visual.transformer.resblocks.4.attn.v,0.9171342849731444,0.9267680048942566
200,Cars,image_encoder.model.visual.transformer.resblocks.4.attn.o,0.7921176552772522,0.8309170603752136
200,Cars,image_encoder.model.visual.transformer.resblocks.4.attn,0.9171342849731444,0.9267680048942566
200,Cars,image_encoder.model.visual.transformer.resblocks.4.mlp.c_fc,0.9301430583000184,0.9381515383720398
200,Cars,image_encoder.model.visual.transformer.resblocks.4.mlp.c_proj,0.9121597409248352,0.9245609045028688
200,Cars,image_encoder.model.visual.transformer.resblocks.5.attn.q,0.9292089343070984,0.944425404071808
200,Cars,image_encoder.model.visual.transformer.resblocks.5.attn.k,0.9292089343070984,0.944425404071808
200,Cars,image_encoder.model.visual.transformer.resblocks.5.attn.v,0.9292089343070984,0.944425404071808
200,Cars,image_encoder.model.visual.transformer.resblocks.5.attn.o,0.6692376136779785,0.7166885733604431
