model,dataset,layer_name,layer_idx,method,error,ft_method
ViT-B-16,Cars,model.visual.transformer.resblocks.11.attn.v.weight,30,Random,1.001544713973999,standard
ViT-B-16,Cars,model.visual.transformer.resblocks.11.attn.v.weight,30,Identity,0.9031730890274048,standard
ViT-B-16,Cars,model.visual.transformer.resblocks.11.attn.o.weight,31,EigenCov,0.879317045211792,standard
ViT-B-16,Cars,model.visual.transformer.resblocks.11.attn.o.weight,31,Random,0.998097836971283,standard
ViT-B-16,Cars,model.visual.transformer.resblocks.11.attn.o.weight,31,Identity,0.9049202799797058,standard
ViT-B-16,Cars,model.visual.transformer.resblocks.7.attn.q.weight,32,EigenCov,0.6237282752990723,standard
ViT-B-16,Cars,model.visual.transformer.resblocks.7.attn.q.weight,32,Random,1.0007705688476562,standard
ViT-B-16,Cars,model.visual.transformer.resblocks.7.attn.q.weight,32,Identity,0.7544528841972351,standard
ViT-B-16,Cars,model.visual.transformer.resblocks.7.attn.k.weight,33,EigenCov,0.5838775634765625,standard
ViT-B-16,Cars,model.visual.transformer.resblocks.7.attn.k.weight,33,Random,0.9991264343261719,standard
ViT-B-16,Cars,model.visual.transformer.resblocks.7.attn.k.weight,33,Identity,0.7544528841972351,standard
ViT-B-16,Cars,model.visual.transformer.resblocks.7.attn.v.weight,34,EigenCov,0.6325739622116089,standard
ViT-B-16,Cars,model.visual.transformer.resblocks.7.attn.v.weight,34,Random,1.0004138946533203,standard
ViT-B-16,Cars,model.visual.transformer.resblocks.7.attn.v.weight,34,Identity,0.7544528841972351,standard
ViT-B-16,Cars,model.visual.transformer.resblocks.7.attn.o.weight,35,EigenCov,0.6494354009628296,standard
ViT-B-16,Cars,model.visual.transformer.resblocks.7.attn.o.weight,35,Random,0.9996210336685181,standard
ViT-B-16,Cars,model.visual.transformer.resblocks.7.attn.o.weight,35,Identity,0.8443080186843872,standard
ViT-B-16,Cars,model.visual.transformer.resblocks.5.attn.q.weight,36,EigenCov,0.7354573011398315,standard
ViT-B-16,Cars,model.visual.transformer.resblocks.5.attn.q.weight,36,Random,0.99983811378479,standard
ViT-B-16,Cars,model.visual.transformer.resblocks.5.attn.q.weight,36,Identity,0.7559049129486084,standard
ViT-B-16,Cars,model.visual.transformer.resblocks.5.attn.k.weight,37,EigenCov,0.7149850130081177,standard
ViT-B-16,Cars,model.visual.transformer.resblocks.5.attn.k.weight,37,Random,0.9987373352050781,standard
ViT-B-16,Cars,model.visual.transformer.resblocks.5.attn.k.weight,37,Identity,0.7559049129486084,standard
ViT-B-16,Cars,model.visual.transformer.resblocks.5.attn.v.weight,38,EigenCov,0.7464289665222168,standard
ViT-B-16,Cars,model.visual.transformer.resblocks.5.attn.v.weight,38,Random,0.9977443218231201,standard
ViT-B-16,Cars,model.visual.transformer.resblocks.5.attn.v.weight,38,Identity,0.7559049129486084,standard
ViT-B-16,Cars,model.visual.transformer.resblocks.5.attn.o.weight,39,EigenCov,0.612979531288147,standard
ViT-B-16,Cars,model.visual.transformer.resblocks.5.attn.o.weight,39,Random,1.0005732774734497,standard
ViT-B-16,Cars,model.visual.transformer.resblocks.5.attn.o.weight,39,Identity,0.8006430864334106,standard
ViT-B-16,Cars,model.visual.transformer.resblocks.10.attn.q.weight,40,EigenCov,0.7679036855697632,standard
ViT-B-16,Cars,model.visual.transformer.resblocks.10.attn.q.weight,40,Random,0.9973856806755066,standard
ViT-B-16,Cars,model.visual.transformer.resblocks.10.attn.q.weight,40,Identity,0.8435717821121216,standard
ViT-B-16,Cars,model.visual.transformer.resblocks.10.attn.k.weight,41,EigenCov,0.7663004398345947,standard
ViT-B-16,Cars,model.visual.transformer.resblocks.10.attn.k.weight,41,Random,0.9995821118354797,standard
ViT-B-16,Cars,model.visual.transformer.resblocks.10.attn.k.weight,41,Identity,0.8435717821121216,standard
ViT-B-16,Cars,model.visual.transformer.resblocks.10.attn.v.weight,42,EigenCov,0.8013783693313599,standard
